p1,p2,p3,p4,p5
oxygen,proteins and acids,"waste, urea",carbon dioxide,salt
SENTENCE,PHRASE,REFERENCE
Blood delivers oxygen in the body.,blood,
Blood delivers oxygen in the body.,oxygen,p1
Blood delivers oxygen in the body.,in the body,
Proteins and acids are broken down in the liver.,proteins and acids,p2
Proteins and acids are broken down in the liver.,in the liver,
Proteins and acids are broken down in the liver.,the liver,
The liver releases waste in the form of urea.,the liver,
The liver releases waste in the form of urea.,waste,p3
The liver releases waste in the form of urea.,in the form of urea,p3
The blood carries the urea and carbon dioxide to the kidneys.,the blood,
The blood carries the urea and carbon dioxide to the kidneys.,the urea and carbon dioxide,"p3,p4"
The blood carries the urea and carbon dioxide to the kidneys.,to the kidneys,
The blood carries the urea and carbon dioxide to the kidneys.,the kidneys,
The kidneys strain the urea and salts needed from the blood.,the kidneys,
The kidneys strain the urea and salts needed from the blood.,the urea and salts needed from the blood,"p3,p5"
The kidneys strain the urea and salts needed from the blood.,the urea and salts,"p3,p5"
The kidneys strain the urea and salts needed from the blood.,from the blood,
The kidneys strain the urea and salts needed from the blood.,the blood,
The carbon dioxide by product is transported back to the lungs.,the carbon dioxide by product,p4
The carbon dioxide by product is transported back to the lungs.,back to the lungs,
Carbon dioxide is exhaled by the lungs.,carbon dioxide,p4
Carbon dioxide is exhaled by the lungs.,by the lungs,
Carbon dioxide is exhaled by the lungs.,the lungs,
