p1,p2,p3,p4,p5,p6
coal,water,steam,heat energy,mechanical energy,electric energy
SENTENCE,PHRASE,REFERENCE
A machine called a pulverizer grinds the coal into a fine powder.,a machine,
A machine called a pulverizer grinds the coal into a fine powder.,a pulverizer,
A machine called a pulverizer grinds the coal into a fine powder.,a machine called a pulverizer,
A machine called a pulverizer grinds the coal into a fine powder.,the coal,p1
A machine called a pulverizer grinds the coal into a fine powder.,into a fine powder,
A machine called a pulverizer grinds the coal into a fine powder.,a fine powder,
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",the coal powder,p1
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",hot air,
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",the coal powder mixes with hot air,p1
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",the coal burn more efficiently,p1
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",burn more efficiently,
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",the coal,p1
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",more efficiently,
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",the mixture,
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",to the furnace,
"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.",the furnace,
"The burning coal heats water in a boiler, creating steam.",the burning coal,p1
"The burning coal heats water in a boiler, creating steam.",water,p2
"The burning coal heats water in a boiler, creating steam.",in a boiler,
"The burning coal heats water in a boiler, creating steam.",the burning coal,p1
"The burning coal heats water in a boiler, creating steam.",steam,p3
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",steam,p3
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",from the boiler,
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",the boiler,
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",an engine,
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",a turbine,
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",a turbine,
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",heat energy,p4
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",burning coal,p1
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",mechanical energy,p5
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",coal,p1
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",mechanical energy,p5
"Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.",the turbine engine,
"The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.",turbine,
"The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.",the spinning turbine,
"The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.",to power a generator,
"The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.",power a generator,
"The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.",a generator,
"The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.",mechanical energy,p5
"The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.",electric energy,p6
This happens when magnets inside a copper coil in the generator spin.,this,
This happens when magnets inside a copper coil in the generator spin.,when magnets inside a copper coil in the generator spin,
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",a condenser,
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",the steam,p3
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",the steam,p3
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",through the turbine,
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",the turbine,
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",the steam,p3
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",condensed,
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",steam,p3
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",back into water,p2
"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.",water,p2
"The water returns to the boiler, and the cycle begins again.",the cycle,
