p1,p2,p3,p4,p5
volcano,magma,pressure,"seismic activity, earthquakes",gases
SENTENCE,PHRASE,REFERENCE
Magma is formed when rock melts inside the Earth's crust.,magma,p2
Magma is formed when rock melts inside the Earth's crust.,when rock melts inside the earth 's crust,
Magma is formed when rock melts inside the Earth's crust.,rock,
Magma is formed when rock melts inside the Earth's crust.,inside the earth 's crust,
"The magma results in a low-pressure, slow-moving flow of magma instead of a violent eruption.",the magma,p2
"The magma results in a low-pressure, slow-moving flow of magma instead of a violent eruption.","a low-pressure , slow-moving flow of magma instead of a violent eruption","p2,p3"
Magma rises.,magma,p2
Collects inside magma chambers underneath a volcano.,inside magma chambers,p2
Pressure builds in the magma chambers as they fill.,pressure,p3
Pressure builds in the magma chambers as they fill.,in the magma chambers,p2
Pressure builds in the magma chambers as they fill.,as they fill,
Pressure builds in the magma chambers as they fill.,the magma chambers,p2
Pressure builds in the magma chambers as they fill.,they,
Gain energy for eruption.,energy,
Gain energy for eruption.,for eruption,
Gain energy for eruption.,eruption,
Some of the energy is converted into seismic activity (earthquakes).,some of the energy,
Some of the energy is converted into seismic activity (earthquakes).,seismic activity,p4
If the magma building in the volcano is thick and sticky it will trap gases.,the magma building in the volcano,"p1,p2"
If the magma building in the volcano is thick and sticky it will trap gases.,thick and sticky,
Results in an explosive eruption when the pressure becomes too intense.,the pressure,p3
Results in an explosive eruption when the pressure becomes too intense.,too intense,
If the magma is thin and runs.,the magma,p2
If the magma is thin and runs.,thin and runs,
