p1,p2
photovoltaic cell,electric field
SENTENCE,PHRASE,REFERENCE
A photovoltaic cell is created with two layers of semiconductor material.,a photovoltaic cell,p1
A photovoltaic cell is created with two layers of semiconductor material.,with two layers of semiconductor material,
A photovoltaic cell is created with two layers of semiconductor material.,two layers of semiconductor material,
"The top layer are ""doped"" with impurities to allow a negative charge.",the top layer,
"The top layer are ""doped"" with impurities to allow a negative charge.",with impurities,
"The top layer are ""doped"" with impurities to allow a negative charge.",impurities,
"The top layer are ""doped"" with impurities to allow a negative charge.",to allow a negative charge,
"The top layer are ""doped"" with impurities to allow a negative charge.",the top layer,
"The top layer are ""doped"" with impurities to allow a negative charge.",a negative charge,
"The bottom layer are ""doped"" to allow for a positive charge.",the bottom layer,
"The bottom layer are ""doped"" to allow for a positive charge.",to allow for a positive charge,
"The bottom layer are ""doped"" to allow for a positive charge.",the bottom layer,
"The bottom layer are ""doped"" to allow for a positive charge.",the bottom layer are doped,
"The bottom layer are ""doped"" to allow for a positive charge.",for a positive charge,
This produces an electric field that allows electrons to flow from negative to positve.,this,
This produces an electric field that allows electrons to flow from negative to positve.,an electric field,p2
This produces an electric field that allows electrons to flow from negative to positve.,an electric field,p2
This produces an electric field that allows electrons to flow from negative to positve.,electrons to flow from negative to positve,
This produces an electric field that allows electrons to flow from negative to positve.,to flow from negative to positve,
This produces an electric field that allows electrons to flow from negative to positve.,electrons,
This produces an electric field that allows electrons to flow from negative to positve.,from negative to positve,
This produces an electric field that allows electrons to flow from negative to positve.,negative,
This produces an electric field that allows electrons to flow from negative to positve.,electrons,
Sunlight enters the cell.,sunlight,
Sunlight enters the cell.,the cell,
Energy from sunlight knocks electrons loose in both fields.,energy from sunlight,
Energy from sunlight knocks electrons loose in both fields.,electrons,
Energy from sunlight knocks electrons loose in both fields.,loose,
Energy from sunlight knocks electrons loose in both fields.,in both fields,
This prevents the flow of electrons from negative to positive.,this,
This prevents the flow of electrons from negative to positive.,the flow of electrons from negative to positive,
Adding an external circuit allows the exchange to continue.,an external circuit,
Adding an external circuit allows the exchange to continue.,adding an external circuit,
Adding an external circuit allows the exchange to continue.,the exchange to continue,
Adding an external circuit allows the exchange to continue.,the exchange,
Give the cells owner a flow of electricity.,the cells owner,
Give the cells owner a flow of electricity.,a flow of electricity,
This produces an electric field that allows electrons to flow from negative to positve.,positive,
